,Player,Match,Competition,Date,Position,Minutes played,Total actions,Successful actions,Goals,Assists,Shots,Shots on target,xG,Total passes,Accurate passes,Long passes,Accurate long passes,Crosses,Accurate crosses,Dribbles,Successful dribbles,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses in own half,Recoveries,Opp. half recoveries,Yellow card,Red card,Defensive duels,Defensive duels won,Loose ball duels,Loose ball duels won,Sliding tackles,Successful sliding tackles,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duel,Offensive duels won,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes,Accurate through passes,xA,Second assists,Passes to final third,Accurate passes to final third,Passes to penalty area,Accurate passes to penalty area,Received passes,Forward passes,Accurate forward passes,Back passes,Accurate back passes,Conceded goals,xCG,Shots against,Saves / with reflexes,Unnamed: 65,Exits,Passes to GK,Accurate passes to GK,Goal kicks,Short goal kicks,Long goal kicks,Total_Accurate_Passes
65685,K. De Bruyne,Manchester City - Brentford 1:2,England. Premier League,2022-11-12,"RAMF, RCMF3",106,101,54,0,0,2,1,0.12,67,44,6,5,16,4,9,3,24,7,2,0,2,22,3,7,6,0,0,5,2,6,2,0,0,1,1,0,0,2,11,3,4,0,2,1,7,1,0.17,1,6,5,20,7,53,22,14,8,8,0,0.0,0,0,0,0,0,0,0,0,0,88
65686,K. De Bruyne,Manchester City - Fulham 2:1,England. Premier League,2022-11-05,"RCMF3, RW",101,85,54,0,0,2,1,0.02,49,38,4,2,10,5,10,5,24,12,0,0,0,13,1,7,6,0,0,4,3,2,1,0,0,0,1,0,0,5,18,8,2,0,3,2,3,2,0.69,0,4,3,9,6,37,8,5,12,12,0,0.0,0,0,0,0,0,0,0,0,0,73
65688,K. De Bruyne,Leicester City - Manchester City 0:1,England. Premier League,2022-10-29,RCMF3,96,96,64,1,0,5,2,0.17,64,52,8,6,8,3,4,4,17,8,1,1,3,8,0,5,4,0,0,5,2,5,1,0,0,1,2,0,0,4,6,4,4,0,1,0,7,3,0.42,0,4,0,14,8,54,11,6,9,9,0,0.0,0,0,0,0,1,1,0,0,0,88
65689,K. De Bruyne,Manchester City - Brighton 3:1,England. Premier League,2022-10-22,RCMF3,99,67,34,1,0,2,1,0.16,29,21,2,0,3,1,5,3,23,10,1,0,3,15,3,5,3,0,0,7,3,3,1,0,0,0,4,0,0,3,12,6,5,0,2,1,3,0,0.48,0,2,2,7,3,17,6,3,6,6,0,0.0,0,0,0,0,1,1,0,0,0,37
65690,K. De Bruyne,Liverpool - Manchester City 1:0,England. Premier League,2022-10-16,AMF,101,67,37,0,0,1,0,0.01,40,28,7,5,8,2,2,1,18,9,3,2,3,14,1,6,4,0,0,1,0,2,0,0,0,1,0,0,0,2,12,7,4,0,2,2,1,1,0.41,0,7,6,10,5,31,12,8,6,5,0,0.0,0,0,0,0,1,1,0,0,0,61
65692,K. De Bruyne,Manchester City - Southampton 4:0,England. Premier League,2022-10-08,AMF,73,57,34,0,1,0,0,0.0,33,27,0,0,7,3,1,1,9,5,1,0,2,10,0,3,2,0,0,3,2,3,2,0,0,0,0,0,0,3,2,1,6,0,3,1,2,1,0.31,0,7,6,4,3,29,10,9,6,6,0,0.0,0,0,0,0,0,0,0,0,0,55
65693,K. De Bruyne,Manchester City - Manchester United 6:3,England. Premier League,2022-10-02,RCMF3,77,52,36,0,2,3,2,0.46,27,23,2,2,3,1,2,2,8,7,0,0,1,4,1,2,1,0,0,3,2,0,0,0,0,1,0,0,0,2,5,5,3,1,3,1,0,0,0.67,1,7,6,3,3,24,12,11,4,3,0,0.0,0,0,0,0,0,0,0,0,0,49
65696,K. De Bruyne,Wolverhampton Wanderers - Manchester City 0:3,England. Premier League,2022-09-17,RCMF3,75,57,35,0,2,2,0,0.06,37,32,3,3,3,2,2,1,12,2,0,0,1,5,3,1,0,0,0,4,1,1,0,0,0,1,1,0,0,4,7,1,1,0,2,0,0,0,0.59,0,7,6,5,5,34,11,9,4,4,0,0.0,0,0,0,0,0,0,0,0,0,61
65699,K. De Bruyne,Aston Villa - Manchester City 1:1,England. Premier League,2022-09-03,RCMF3,97,87,54,0,1,4,0,0.34,58,47,6,3,7,5,1,0,11,3,3,2,1,11,1,3,2,0,0,3,1,1,0,0,0,0,2,0,0,4,4,0,4,0,6,0,4,0,0.87,0,9,7,13,7,49,17,12,8,8,0,0.0,0,0,0,0,0,0,0,0,0,89
65700,K. De Bruyne,Manchester City - Nottingham Forest 6:0,England. Premier League,2022-08-31,AMF,24,33,23,0,0,1,1,0.22,21,18,2,2,1,0,3,1,4,2,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,1,1,1,0,0.02,0,7,5,2,1,21,5,4,2,2,0,0.0,0,0,0,0,0,0,0,0,0,32
